order_id,customer_id_x,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,feedback_id,customer_id_y,rating,feedback_text,feedback_category,sentiment,feedback_date
1961864118,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,2234710,30065862,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17
1549769649,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,5450964,9573071,3,The order was incorrect.,App Experience,Negative,2024-05-28
9185164487,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,39859,9886,482108,45477575,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23
9644738826,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,4823104,88067569,4,The product met my expectations.,App Experience,Neutral,2023-11-24
5427684290,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,3537464,83298567,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20
3265154092,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,554,3442,4089724,43367112,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18
4898355547,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,230696,13284996,4,Highly recommended!,Product Quality,Positive,2023-04-16
6568151549,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,2259308,88866835,2,I had a bad experience.,App Experience,Negative,2024-03-31
6006693867,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,7380970,24496983,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14
374186990,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,2257242,52215833,3,The product met my expectations.,App Experience,Neutral,2023-08-09
